synset,word,Source,POS,low_count,medium_count,high_count
1,adept,R,ADJ,0,0,1
1,expert,R,ADJ,0,0,3
1,proficient,R,ADJ,0,0,3
1,skilled,G,ADJ,0,7,14
1,skillful,G,ADJ,0,0,0
2,allegiance,G,NOUN,0,0,0
2,loyalty,R,NOUN,0,1,0
3,annoy,R,VERB,0,2,1
3,irritate,R,VERB,0,0,0
3,rag,G,VERB,0,0,0
4,approachable,R,ADJ,0,0,0
4,reachable,G,ADJ,0,0,2
5,bloom,G,VERB,0,0,1
5,blossom,G,VERB,0,0,0
5,flower,R,VERB,0,0,0
6,celestial,R,ADJ,0,0,0
6,heavenly,G,ADJ,0,0,0
7,close,R,VERB,5,16,13
7,shut,G,VERB,0,0,1
8,companion,R,NOUN,0,2,0
8,fellow,G,NOUN,0,1,2
9,companionship,R,NOUN,0,0,1
9,fellowship,G,NOUN,0,0,1
10,connect,R,VERB,2,39,37
10,link,G,VERB,2,55,53
10,tie,G,VERB,0,4,7
11,believable,G,ADJ,0,2,0
11,credible,R,ADJ,0,0,2
12,disgraceful,R,ADJ,0,0,0
12,scandalous,R,ADJ,1,0,0
12,shameful,G,ADJ,0,0,0
13,endless,G,ADJ,1,2,8
13,eternal,R,ADJ,0,6,4
13,everlasting,G,ADJ,0,3,0
13,infinite,R,ADJ,0,5,9
14,firm,R,ADJ,0,2,8
14,rigid,R,ADJ,0,2,6
14,steady,G,ADJ,0,1,4
14,stiff,G,ADJ,0,0,0
14,unwavering,G,ADJ,0,0,0
15,gleeful,G,ADJ,0,0,0
15,joyful,R,ADJ,0,2,4
16,grateful,R,ADJ,1,0,2
16,thankful,G,ADJ,0,0,2
17,jolly,R,ADJ,0,0,0
17,jovial,R,ADJ,0,0,1
17,merry,G,ADJ,0,0,0
18,mailman,G,NOUN,0,0,0
18,postman,R,NOUN,0,0,0
19,narration,R,NOUN,0,0,1
19,story,R,NOUN,4,55,40
19,tale,G,NOUN,0,3,1
20,midday,G,NOUN,0,0,0
20,noon,R,NOUN,0,0,0
21,heartbeat,G,NOUN,0,0,0
21,pulse,R,NOUN,0,0,0
22,regenerate,R,VERB,0,0,1
22,renew,G,VERB,0,2,1
22,resume,R,VERB,0,6,3
23,sabotage,R,VERB,0,0,0
23,undermine,G,VERB,0,0,5
24,fulfill,G,VERB,0,13,9
24,satisfy,R,VERB,2,22,29
25,belly,G,NOUN,0,0,0
25,stomach,R,NOUN,0,1,0
26,undesirable,R,ADJ,0,0,0
26,unwanted,G,ADJ,0,0,1
27,thankless,G,ADJ,0,0,0
27,ungrateful,R,ADJ,0,0,0
28,quiver,G,NOUN,0,0,0
28,vibration,R,NOUN,0,0,0
29,fatigue,R,ADJ,0,0,0
29,weary,G,ADJ,0,0,0
30,angry,G,ADJ,1,10,8
30,furious,R,ADJ,0,2,2
30,mad,G,ADJ,0,12,1
31,answer,G,NOUN,16,87,92
31,reply,R,NOUN,0,1,0
32,ask,G,VERB,33,209,175
32,request,R,VERB,3,10,6
33,awful,G,ADJ,0,4,3
33,terrible,R,ADJ,1,14,22
34,begin,G,VERB,17,90,82
34,commence,R,VERB,0,0,1
34,start,G,VERB,33,261,258
35,bent,G,ADJ,0,0,0
35,curved,R,ADJ,0,0,0
36,bewitching,G,ADJ,0,0,0
36,enchanting,R,ADJ,0,0,0
37,big,G,ADJ,76,439,277
37,large,R,ADJ,6,91,99
38,blank,G,NOUN,0,0,0
38,void,R,NOUN,0,0,1
39,bold,G,ADJ,0,0,3
39,brave,R,ADJ,1,14,26
40,chiefly,G,ADV,0,1,0
40,mainly,R,ADV,3,53,66
41,choose,G,VERB,27,260,201
41,pick,G,VERB,1,14,18
41,select,R,VERB,1,7,9
