synset,word,Source,POS
1,adept,R,ADJ
1,expert,R,ADJ
1,proficient,R,ADJ
1,skillful,G,ADJ
1,skilled,G,ADJ
2,allegiance,G,NOUN
2,loyalty,R,NOUN
3,annoy,R,VERB
3,rag,G,VERB
3,irritate,R,VERB
4,approachable,R,ADJ
4,reachable,G,ADJ
5,bloom,G,VERB
5,blossom,G,VERB
5,flower,R,VERB
6,celestial,R,ADJ
6,heavenly,G,ADJ
7,close,R,VERB
7,shut,G,VERB
8,companion,R,NOUN
8,fellow,G,NOUN
9,companionship,R,NOUN
9,fellowship,G,NOUN
10,tie,G,VERB
10,connect,R,VERB
10,link,G,VERB
11,credible,R,ADJ
11,believable,G,ADJ
12,disgraceful,R,ADJ
12,scandalous,R,ADJ
12,shameful,G,ADJ
13,endless,G,ADJ
13,eternal,R,ADJ
13,infinite,R,ADJ
13,everlasting,G,ADJ
14,firm,R,ADJ
14,steady,G,ADJ
14,stiff,G,ADJ
14,unwavering,G,ADJ
14,rigid,R,ADJ
15,gleeful,G,ADJ
15,joyful,R,ADJ
16,grateful,R,ADJ
16,thankful,G,ADJ
17,jolly,R,ADJ
17,jovial,R,ADJ
17,merry,G,ADJ
18,mailman,G,NOUN
18,postman,R,NOUN
19,narration,R,NOUN
19,tale,G,NOUN
19,story,R,NOUN
20,noon,R,NOUN
20,midday,G,NOUN
21,pulse,R,NOUN
21,heartbeat,G,NOUN
22,regenerate,R,VERB
22,renew,G,VERB
22,resume,R,VERB
23,sabotage,R,VERB
23,undermine,G,VERB
24,satisfy,R,VERB
24,fulfill,G,VERB
25,stomach,R,NOUN
25,belly,G,NOUN
26,undesirable,R,ADJ
26,unwanted,G,ADJ
27,ungrateful,R,ADJ
27,thankless,G,ADJ
28,vibration,R,NOUN
28,quiver,G,NOUN
29,weary,G,ADJ
29,fatigue,R,ADJ
30,angry,G,ADJ
30,mad,G,ADJ
30,furious,R,ADJ
31,answer,G,NOUN
31,reply,R,NOUN
32,ask,G,VERB
32,request,R,VERB
33,awful,G,ADJ
33,terrible,R,ADJ
34,begin,G,VERB
34,start,G,VERB
34,commence,R,VERB
35,bent,G,ADJ
35,curved,R,ADJ
36,bewitching,G,ADJ
36,enchanting,R,ADJ
37,big,G,ADJ
37,large,R,ADJ
38,blank,G,NOUN
38,void,R,NOUN
39,bold,G,ADJ
39,brave,R,ADJ
40,chiefly,G,ADV
40,mainly,R,ADV
41,choose,G,VERB
41,pick,G,VERB
41,select,R,VERB
42,clean,G,ADJ
42,neat,R,ADJ
43,crazy,G,ADJ
43,insane,R,ADJ
44,dumb,G,ADJ
44,stupid,R,ADJ
45,eager,G,VERB
45,keen,R,VERB
46,end,G,VERB
46,finish,R,VERB
47,fast,G,ADJ
47,quick,G,ADJ
47,rapid,R,ADJ
48,fear,G,NOUN
48,fright,G,NOUN
48,terror,R,NOUN
48,horror,R,NOUN
49,forsake,G,VERB
49,abandon,R,VERB
50,friendly,G,ADJ
50,amiable,R,ADJ
51,full,G,ADJ
51,complete,R,ADJ
52,funny,G,ADJ
52,amusing,R,ADJ
53,glimpse,G,NOUN
53,glance,R,NOUN
54,goal,G,NOUN
54,aim,R,NOUN
55,guarantee,G,VERB
55,assure,R,VERB
56,hard,G,ADJ
56,difficult,R,ADJ
57,harm,G,VERB
57,damage,R,VERB
58,hate,G,VERB
58,despise,R,VERB
59,help,G,VERB
59,aid,R,VERB
59,assist,R,VERB
60,hide,G,VERB
60,conceal,R,VERB
61,huge,G,ADJ
61,enormous,R,ADJ
62,keep,G,VERB
62,maintain,R,VERB
63,kind,G,ADJ
63,gracious,R,ADJ
64,leave,G,VERB
64,depart,R,VERB
65,loudly,G,ADV
65,noisily,R,ADV
66,mistake,G,NOUN
66,error,R,NOUN
67,old,G,ADJ
67,ancient,R,ADJ
68,queer,G,ADJ
68,weird,G,ADJ
68,bizarre,R,ADJ
68,peculiar,R,ADJ
69,reach,G,VERB
69,arrive,R,VERB
70,remove,G,VERB
70,detach,R,VERB
71,seek,G,VERB
71,search,R,VERB
72,show,G,VERB
72,display,R,VERB
73,soundless,G,ADJ
73,mute,R,ADJ
74,trustworthy,G,ADJ
74,reliable,R,ADJ
75,trusty,G,ADJ
75,loyal,R,ADJ
76,ugly,G,ADJ
76,hideous,R,ADJ
77,unbelievable,G,ADJ
77,incredible,R,ADJ
78,whole,G,ADJ
78,entire,R,ADJ
79,wonderful,G,ADJ
79,great,G,ADJ
79,excellent,R,ADJ
79,fantastic,R,ADJ
80,worry,G,VERB
80,concern,R,VERB
81,worship,G,VERB
81,admire,R,VERB
82,wreck,G,VERB
82,destroy,R,VERB
82,demolish,R,VERB
83,wrong,G,ADJ
83,untrue,G,ADJ
83,FALSE,R,ADJ
83,incorrect,R,ADJ
84,find,G,VERB
84,discover,R,VERB
85,forbid,G,VERB
85,ban,G,VERB
85,prohibit,R,VERB
86,forgive,G,VERB
86,pardon,R,VERB
87,former,G,ADJ
87,previous,R,ADJ
88,freedom,G,NOUN
88,liberty,R,NOUN
89,fun,G,NOUN
89,enjoyment,R,NOUN
90,gain,G,VERB
90,obtain,R,VERB
90,acquire,R,VERB
91,gallant,G,ADJ
91,chivalrous,R,ADJ
92,garbage,G,NOUN
92,trash,G,NOUN
92,rubbish,R,NOUN
93,gather,G,VERB
93,collect,R,VERB
94,hat,G,NOUN
94,cap,R,NOUN
95,own,G,VERB
95,possess,R,VERB
96,last,G,ADJ
96,final,R,ADJ
96,ultimate,R,ADJ
97,learn,G,VERB
97,study,R,VERB
98,lucky,G,ADJ
98,fortunate,R,ADJ
99,hardship,G,NOUN
99,suffering,G,NOUN
99,misery,R,NOUN
99,distress,R,NOUN
100,happen,G,VERB
100,occur,R,VERB
101,shove,G,VERB
101,push,R,VERB
102,lift,G,NOUN
102,elevator,R,NOUN
103,regret,G,VERB
103,remorse,R,VERB
104,remark,G,NOUN
104,comment,R,NOUN
105,rug,G,NOUN
105,carpet,R,NOUN
106,shop,G,NOUN
106,store,R,NOUN
107,split,G,VERB
107,divide,R,VERB
108,try,G,VERB
108,attempt,R,VERB
109,restless,G,ADJ
109,nervous,R,ADJ
110,unlawful,G,ADJ
110,illegal,R,ADJ
111,worth,G,NOUN
111,value,R,NOUN
112,weak,G,ADJ
112,feeble,R,ADJ
113,win,G,NOUN
113,triumph,R,NOUN
113,victory,R,NOUN
114,writer,G,NOUN
114,author,R,NOUN
115,yearly,G,ADJ
115,annual,R,ADJ
116,strong,G,ADJ
116,powerful,R,ADJ
117,shipment,G,NOUN
117,delivery,R,NOUN
118,breakable,G,ADJ
118,fragile,R,ADJ
119,fake,G,ADJ
119,artificial,R,ADJ
120,short,G,ADJ
120,brief,R,ADJ
121,helpful,G,ADJ
121,beneficial,R,ADJ
122,busy,G,VERB
122,occupy,R,VERB
123,buy,G,VERB
123,purchase,R,VERB
124,idle,G,ADJ
124,inactive,R,ADJ
125,enough,G,ADJ
125,sufficient,R,ADJ
126,thoughtful,G,ADJ
126,considerate,R,ADJ
127,mourn,G,VERB
127,grieve,R,VERB
128,legible,G,ADJ
128,readable,R,ADJ
129,evil,G,ADJ
129,malicious,R,ADJ
130,warlike,G,ADJ
130,militant,R,ADJ
131,boring,G,ADJ
131,tedious,R,ADJ
131,uninteresting,R,ADJ
131,dull,G,ADJ
132,sight,G,NOUN
132,vision,R,NOUN
133,smell,G,NOUN
133,odour,R,NOUN
133,scent,R,NOUN
134,meadow,G,NOUN
134,pasture,R,NOUN
135,deadly,G,ADJ
135,mortal,R,ADJ
136,tired,G,ADJ
136,exhausted,R,ADJ
137,chat,G,NOUN
137,conversation,R,NOUN
137,discussion,R,NOUN
138,leader,G,NOUN
138,chief,R,NOUN
139,understand,G,VERB
139,comprehend,R,VERB
140,hurdle,G,NOUN
140,obstacle,R,NOUN
141,often,G,ADV
141,frequently,R,ADV
142,flawless,G,ADJ
142,perfect,R,ADJ
143,flaw,G,NOUN
143,defect,R,NOUN
144,unbounded,G,ADJ
144,unlimited,R,ADJ
145,early,G,ADJ
145,premature,R,ADJ
146,likely,G,ADV
146,probable,R,ADV
147,hopeful,G,ADJ
147,optimistic,R,ADJ
148,outstanding,G,ADJ
148,extraordinary,R,ADJ
149,lessen,G,VERB
149,reduce,R,VERB
150,unwilling,G,ADJ
150,reluctant,R,ADJ
151,withstand,G,VERB
151,resist,R,VERB
152,withdraw,G,VERB
152,retreat,R,VERB
153,same,G,ADJ
153,identical,R,ADJ
154,meaningful,G,ADJ
154,significant,R,ADJ
155,steady,G,ADJ
155,stable,R,ADJ
156,shake,G,VERB
156,quiver,G,VERB
156,quake,G,VERB
156,vibrate,R,VERB
156,tremble,R,VERB
157,peak,G,NOUN
157,top,G,NOUN
157,apex,R,NOUN
157,pinnacle,R,NOUN
157,summit,R,NOUN
158,mug,G,VERB
158,rob,R,VERB
159,sealed,G,ADJ
159,impermeable,R,ADJ
160,barely,G,ADV
160,hardly,G,ADV
160,scarcely,R,ADV
161,childish,G,ADJ
161,juvenile,R,ADJ
161,immature,R,ADJ
161,infantile,R,ADJ
162,thread,G,NOUN
162,string,G,NOUN
162,cord,R,NOUN
163,outline,G,NOUN
163,contour,R,NOUN
